Pokemon,Location,Available in HeartGold,Available in Soulsilver,Appears in Morning,Appears in Daytime,Appears in Nighttime,Rarity,Levels
Linoone,Route 34,Yes,Yes,Yes,Yes,Yes,Uncommon,12
Whismur,Route 34,Yes,Yes,Yes,Yes,Yes,Uncommon,10-11
Bidoof,Route 34,Yes,Yes,Yes,Yes,Yes,Uncommon,12
Buizel,Route 34,Yes,Yes,Yes,Yes,Yes,Uncommon,10-11
Ralts,Route 34,Yes,Yes,Yes,Yes,Yes,Common,10-11
Tentacool,Route 34,Yes,Yes,Yes,Yes,Yes,Common,10-25
Tentacruel,Route 34,Yes,Yes,Yes,Yes,Yes,Uncommon,15-29
Exeggcute,Route 34,Yes,Yes,Yes,Yes,Yes,Limited,2-25
Hoothoot,Route 34,Yes,Yes,Yes,Yes,Yes,Limited,2-19
Ledyba,Route 34,No,Yes,Yes,Yes,Yes,Limited,11-19
Spinarak,Route 34,Yes,No,Yes,Yes,Yes,Limited,11-19
Pineco,Route 34,Yes,Yes,Yes,Yes,Yes,Limited,2-17
Nidoran♀,Route 35,Yes,Yes,Yes,Yes,Yes,Common,12
Nidoran♂,Route 35,Yes,Yes,Yes,Yes,Yes,Common,12
Pidgey,Route 35,Yes,Yes,Yes,Yes,No,Rare,14
Ditto,Route 35,Yes,Yes,Yes,Yes,Yes,Rare,10
Hoothoot,Route 35,Yes,Yes,No,No,Yes,Rare,14
Yanma,Route 35,Yes,Yes,Yes,Yes,Yes,Rare,12
Abra,Route 35,Yes,Yes,Yes,Yes,Yes,Uncommon,10
Drowzee,Route 35,Yes,Yes,Yes,Yes,Yes,Uncommon,14
Linoone,Route 35,Yes,Yes,Yes,Yes,Yes,Uncommon,14
Whismur,Route 35,Yes,Yes,Yes,Yes,Yes,Uncommon,12
Bidoof,Route 35,Yes,Yes,Yes,Yes,Yes,Uncommon,14
Buizel,Route 35,Yes,Yes,Yes,Yes,Yes,Uncommon,12
Yanma,Route 35,Yes,Yes,Yes,Yes,Yes,Common,12
Psyduck,Route 35,Yes,Yes,Yes,Yes,Yes,Common,5-20
Golduck,Route 35,Yes,Yes,Yes,Yes,Yes,Uncommon,10-20
Poliwag,Route 35,Yes,Yes,Yes,Yes,Yes,Common,40
Magikarp,Route 35,Yes,Yes,Yes,Yes,Yes,Rare,40
Poliwag,Route 35,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Route 35,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Route 35,Yes,Yes,Yes,Yes,Yes,Common,10
Poliwag,Route 35,Yes,Yes,Yes,Yes,Yes,Rare,10
Exeggcute,Route 35,Yes,Yes,Yes,Yes,Yes,Limited,2-25
Hoothoot,Route 35,Yes,Yes,Yes,Yes,Yes,Limited,2-19
Ledyba,Route 35,No,Yes,Yes,Yes,Yes,Limited,11-19
Spinarak,Route 35,Yes,No,Yes,Yes,Yes,Limited,11-19
Pineco,Route 35,Yes,Yes,Yes,Yes,Yes,Limited,2-17
Pidgey,Route 36,No,Yes,Yes,No,No,Common,12-15
Pidgey,Route 36,Yes,No,Yes,No,No,Common,13-15
Nidoran♀,Route 36,Yes,Yes,Yes,Yes,Yes,Common,12
Nidoran♀,Route 36,No,Yes,Yes,Yes,No,Common,12-13
Nidoran♂,Route 36,Yes,Yes,Yes,Yes,Yes,Common,12
Nidoran♂,Route 36,No,Yes,Yes,Yes,No,Common,12-13
Hoothoot,Route 36,Yes,Yes,No,No,Yes,Common,13-15
Stantler,Route 36,Yes,Yes,Yes,Yes,Yes,Rare,13
Pidgey,Route 36,No,Yes,No,Yes,No,Uncommon,12-13
Pidgey,Route 36,Yes,No,No,Yes,No,Uncommon,13
Vulpix,Route 36,No,Yes,No,Yes,No,Uncommon,13-15
Vulpix,Route 36,No,Yes,Yes,No,Yes,Uncommon,13
Growlithe,Route 36,Yes,No,No,Yes,No,Uncommon,13-15
Growlithe,Route 36,Yes,No,Yes,No,Yes,Uncommon,13
Plusle,Route 36,Yes,Yes,Yes,Yes,Yes,Uncommon,12
Minun,Route 36,Yes,Yes,Yes,Yes,Yes,Uncommon,13
Shinx,Route 36,Yes,Yes,Yes,Yes,Yes,Common,12-13
Sudowoodo,Route 36,Yes,Yes,Yes,Yes,Yes,Limited,20
Exeggcute,Route 36,Yes,Yes,Yes,Yes,Yes,Limited,2-25
Hoothoot,Route 36,Yes,Yes,Yes,Yes,Yes,Limited,2-19
Ledyba,Route 36,No,Yes,Yes,Yes,Yes,Limited,3-7
Spinarak,Route 36,Yes,No,Yes,Yes,Yes,Limited,3-7
Pineco,Route 36,Yes,Yes,Yes,Yes,Yes,Limited,2-17
Pidgey,Route 37,Yes,Yes,Yes,Yes,No,Common,13-15
Hoothoot,Route 37,No,Yes,No,No,Yes,Common,13-15
Ledyba,Route 37,No,Yes,Yes,No,No,Common,13-15
Spinarak,Route 37,Yes,No,No,No,Yes,Common,13-15
Stantler,Route 37,Yes,Yes,Yes,Yes,Yes,Common,15
Pidgeotto,Route 37,Yes,Yes,No,Yes,No,Rare,15
Pidgey,Route 37,No,Yes,Yes,No,No,Uncommon,15
Vulpix,Route 37,No,Yes,No,Yes,No,Uncommon,14-15
Vulpix,Route 37,No,Yes,Yes,No,Yes,Uncommon,14
Growlithe,Route 37,Yes,No,No,Yes,No,Uncommon,14-15
Growlithe,Route 37,Yes,No,Yes,No,Yes,Uncommon,14
Hoothoot,Route 37,Yes,No,No,No,Yes,Uncommon,15
Plusle,Route 37,Yes,Yes,Yes,Yes,Yes,Uncommon,13-15
Minun,Route 37,Yes,Yes,Yes,Yes,Yes,Uncommon,15
Shinx,Route 37,Yes,Yes,Yes,Yes,Yes,Common,13-15
Exeggcute,Route 37,Yes,Yes,Yes,Yes,Yes,Limited,2-25
Hoothoot,Route 37,Yes,Yes,Yes,Yes,Yes,Limited,2-19
Ledyba,Route 37,No,Yes,Yes,Yes,Yes,Limited,11-19
Spinarak,Route 37,Yes,No,Yes,Yes,Yes,Limited,11-19
Pineco,Route 37,Yes,Yes,Yes,Yes,Yes,Limited,2-17
Rattata,Route 38,Yes,No,Yes,Yes,Yes,Common,16
Raticate,Route 38,Yes,Yes,Yes,Yes,Yes,Common,16
Meowth,Route 38,No,Yes,Yes,Yes,Yes,Common,16
Tauros,Route 38,Yes,Yes,Yes,Yes,Yes,Rare,13
Snubbull,Route 38,Yes,Yes,Yes,Yes,Yes,Rare,13
Miltank,Route 38,Yes,Yes,Yes,Yes,Yes,Rare,13
Magnemite,Route 38,Yes,Yes,Yes,Yes,Yes,Uncommon,16
Farfetch'd,Route 38,Yes,Yes,Yes,Yes,No,Uncommon,16
Plusle,Route 38,Yes,Yes,Yes,Yes,Yes,Uncommon,16
Minun,Route 38,Yes,Yes,Yes,Yes,Yes,Uncommon,16
Shinx,Route 38,Yes,Yes,Yes,Yes,Yes,Common,16
Snubbull,Route 38,Yes,Yes,Yes,Yes,Yes,Common,13-16
Exeggcute,Route 38,Yes,Yes,Yes,Yes,Yes,Limited,2-25
Hoothoot,Route 38,Yes,Yes,Yes,Yes,Yes,Limited,2-19
Ledyba,Route 38,No,Yes,Yes,Yes,Yes,Limited,11-19
Spinarak,Route 38,Yes,No,Yes,Yes,Yes,Limited,11-19
Pineco,Route 38,Yes,Yes,Yes,Yes,Yes,Limited,2-17
Burmy,Route 38,Yes,Yes,Yes,Yes,Yes,Limited,18-25
Rattata,Route 39,Yes,No,Yes,Yes,Yes,Common,16
Raticate,Route 39,Yes,No,Yes,Yes,Yes,Common,16
Raticate,Route 39,No,Yes,Yes,Yes,Yes,Common,17
Meowth,Route 39,No,Yes,Yes,Yes,Yes,Common,16
Tauros,Route 39,Yes,No,Yes,Yes,Yes,Rare,13
Tauros,Route 39,No,Yes,Yes,Yes,Yes,Rare,15
Snubbull,Route 39,No,Yes,Yes,Yes,Yes,Rare,15
Miltank,Route 39,Yes,No,Yes,Yes,Yes,Rare,13
Miltank,Route 39,No,Yes,Yes,Yes,Yes,Rare,15
Magnemite,Route 39,Yes,Yes,Yes,Yes,Yes,Uncommon,16
Farfetch'd,Route 39,Yes,Yes,Yes,Yes,No,Uncommon,16
Plusle,Route 39,Yes,Yes,Yes,Yes,Yes,Uncommon,16-17
Minun,Route 39,Yes,Yes,Yes,Yes,Yes,Uncommon,16
Shinx,Route 39,Yes,Yes,Yes,Yes,Yes,Common,16-17
Exeggcute,Route 39,Yes,Yes,Yes,Yes,Yes,Limited,2-25
Hoothoot,Route 39,Yes,Yes,Yes,Yes,Yes,Limited,2-19
Ledyba,Route 39,No,Yes,Yes,Yes,Yes,Limited,11-19
Spinarak,Route 39,Yes,No,Yes,Yes,Yes,Limited,11-19
Pineco,Route 39,Yes,Yes,Yes,Yes,Yes,Limited,2-17
Tentacool,Route 40,Yes,Yes,Yes,Yes,Yes,Common,10-25
Tentacruel,Route 40,Yes,Yes,Yes,Yes,Yes,Uncommon,15-29
Tentacool,Route 41,Yes,Yes,Yes,Yes,Yes,Common,15-25
Tentacruel,Route 41,Yes,Yes,Yes,Yes,Yes,Common,15-25
Mantine,Route 41,Yes,No,Yes,Yes,Yes,Uncommon,15-25
Shellder,Route 41,Yes,Yes,Yes,Yes,Yes,Common,40
Chinchou,Route 41,Yes,Yes,Yes,Yes,Yes,Common,40
Tentacruel,Route 41,Yes,Yes,Yes,Yes,Yes,Rare,40
Lanturn,Route 41,Yes,Yes,Yes,Yes,Yes,Rare,40
Tentacool,Route 41,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Route 41,Yes,Yes,Yes,Yes,Yes,Common,20
Shellder,Route 41,Yes,Yes,Yes,Yes,Yes,Rare,20
Chinchou,Route 41,Yes,Yes,Yes,Yes,Yes,Rare,20
Magikarp,Route 41,Yes,Yes,Yes,Yes,Yes,Common,10
Tentacool,Route 41,Yes,Yes,Yes,Yes,Yes,Rare,10
Spearow,Route 42,Yes,Yes,Yes,Yes,No,Common,14-16
Zubat,Route 42,Yes,Yes,No,No,Yes,Common,14-16
Mankey,Route 42,Yes,No,Yes,Yes,Yes,Common,15
Mareep,Route 42,Yes,No,Yes,Yes,Yes,Common,13
Mareep,Route 42,No,Yes,Yes,Yes,Yes,Common,13-15
Flaaffy,Route 42,Yes,Yes,Yes,Yes,Yes,Uncommon,15-17
Linoone,Route 42,Yes,Yes,Yes,Yes,Yes,Uncommon,14
Whismur,Route 42,Yes,Yes,Yes,Yes,Yes,Uncommon,13-14
Bidoof,Route 42,Yes,Yes,Yes,Yes,Yes,Uncommon,14
Buizel,Route 42,Yes,Yes,Yes,Yes,Yes,Uncommon,13-14
Goldeen,Route 42,Yes,Yes,Yes,Yes,Yes,Common,10-25
Seaking,Route 42,Yes,Yes,Yes,Yes,Yes,Uncommon,15-25
Goldeen,Route 42,Yes,Yes,Yes,Yes,Yes,Common,40
Seaking,Route 42,Yes,Yes,Yes,Yes,Yes,Rare,40
Magikarp,Route 42,Yes,Yes,Yes,Yes,Yes,Rare,40
Goldeen,Route 42,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Route 42,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Route 42,Yes,Yes,Yes,Yes,Yes,Common,10
Goldeen,Route 42,Yes,Yes,Yes,Yes,Yes,Rare,10
Spearow,Route 42,Yes,Yes,Yes,Yes,Yes,Limited,11-20
Aipom,Route 42,Yes,Yes,Yes,Yes,Yes,Limited,13-16
Heracross,Route 42,Yes,Yes,Yes,Yes,Yes,Limited,21-30
Pidgeotto,Route 43,Yes,Yes,Yes,No,No,Common,17
Flaaffy,Route 43,Yes,Yes,No,Yes,No,Common,15-17
Flaaffy,Route 43,Yes,Yes,Yes,No,Yes,Common,15
Girafarig,Route 43,Yes,Yes,Yes,Yes,Yes,Common,15
Venonat,Route 43,Yes,Yes,Yes,No,No,Rare,16
Mareep,Route 43,Yes,Yes,No,No,Yes,Rare,16
Pidgeotto,Route 43,Yes,Yes,No,Yes,No,Uncommon,17
Venonat,Route 43,Yes,Yes,No,No,Yes,Uncommon,15-17
Noctowl,Route 43,Yes,Yes,No,No,Yes,Uncommon,17
Mareep,Route 43,Yes,Yes,Yes,Yes,No,Uncommon,15
Linoone,Route 43,Yes,Yes,Yes,Yes,Yes,Uncommon,17
Whismur,Route 43,Yes,Yes,Yes,Yes,Yes,Uncommon,15
Bidoof,Route 43,Yes,Yes,Yes,Yes,Yes,Uncommon,17
Buizel,Route 43,Yes,Yes,Yes,Yes,Yes,Uncommon,15
Magikarp,Route 43,Yes,Yes,Yes,Yes,Yes,Common,5-50
Poliwag,Route 43,Yes,Yes,Yes,Yes,Yes,Common,40
Magikarp,Route 43,Yes,Yes,Yes,Yes,Yes,Rare,40
Poliwag,Route 43,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Route 43,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Route 43,Yes,Yes,Yes,Yes,Yes,Common,10
Poliwag,Route 43,Yes,Yes,Yes,Yes,Yes,Rare,10
Venonat,Route 43,Yes,Yes,Yes,Yes,Yes,Limited,17-19
Exeggcute,Route 43,Yes,Yes,Yes,Yes,Yes,Limited,2-25
Hoothoot,Route 43,Yes,Yes,Yes,Yes,Yes,Limited,2-19
Pineco,Route 43,Yes,Yes,Yes,Yes,Yes,Limited,2-17
Weepinbell,Route 44,Yes,Yes,Yes,Yes,Yes,Common,22-24
Tangela,Route 44,Yes,Yes,Yes,Yes,Yes,Common,23
Bellsprout,Route 44,Yes,Yes,Yes,Yes,Yes,Uncommon,22
Lickitung,Route 44,Yes,Yes,Yes,Yes,Yes,Uncommon,24-26
Linoone,Route 44,Yes,Yes,Yes,Yes,Yes,Uncommon,22
Whismur,Route 44,Yes,Yes,Yes,Yes,Yes,Uncommon,22-23
Bidoof,Route 44,Yes,Yes,Yes,Yes,Yes,Uncommon,22
Buizel,Route 44,Yes,Yes,Yes,Yes,Yes,Uncommon,22-23
Remoraid,Route 44,Yes,Yes,Yes,Yes,Yes,Common,10-40
Poliwag,Route 44,Yes,Yes,Yes,Yes,Yes,Common,10-25
Poliwhirl,Route 44,Yes,Yes,Yes,Yes,Yes,Uncommon,15-32
Poliwag,Route 44,Yes,Yes,Yes,Yes,Yes,Common,40
Magikarp,Route 44,Yes,Yes,Yes,Yes,Yes,Rare,40
Remoraid,Route 44,Yes,Yes,Yes,Yes,Yes,Rare,40
Poliwag,Route 44,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Route 44,Yes,Yes,Yes,Yes,Yes,Common,20
Remoraid,Route 44,Yes,Yes,Yes,Yes,Yes,Rare,20
Magikarp,Route 44,Yes,Yes,Yes,Yes,Yes,Common,10
Poliwag,Route 44,Yes,Yes,Yes,Yes,Yes,Rare,10
Spearow,Route 44,Yes,Yes,Yes,Yes,Yes,Limited,2-8
Aipom,Route 44,Yes,Yes,Yes,Yes,Yes,Limited,21-27
Heracross,Route 44,Yes,Yes,Yes,Yes,Yes,Limited,21-30
Geodude,Route 45,Yes,Yes,Yes,Yes,Yes,Common,23
Graveler,Route 45,No,Yes,Yes,Yes,Yes,Common,23-25
Graveler,Route 45,Yes,No,Yes,Yes,Yes,Common,23-27
Skarmory,Route 45,No,Yes,Yes,Yes,Yes,Rare,27
Gligar,Route 45,Yes,No,Yes,Yes,Yes,Uncommon,24
Teddiursa,Route 45,No,Yes,Yes,Yes,Yes,Uncommon,20
Phanpy,Route 45,Yes,No,Yes,Yes,Yes,Uncommon,20
Linoone,Route 45,Yes,Yes,Yes,Yes,Yes,Uncommon,24
Whismur,Route 45,Yes,Yes,Yes,Yes,Yes,Uncommon,23
Bidoof,Route 45,Yes,Yes,Yes,Yes,Yes,Uncommon,24
Buizel,Route 45,Yes,Yes,Yes,Yes,Yes,Uncommon,23
Swablu,Route 45,Yes,Yes,Yes,Yes,Yes,Common,23
Magikarp,Route 45,Yes,Yes,Yes,Yes,Yes,Common,2-20
Poliwag,Route 45,Yes,Yes,Yes,Yes,Yes,Common,40
Magikarp,Route 45,Yes,Yes,Yes,Yes,Yes,Rare,40
Poliwag,Route 45,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Route 45,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Route 45,Yes,Yes,Yes,Yes,Yes,Common,10
Poliwag,Route 45,Yes,Yes,Yes,Yes,Yes,Rare,10
Spearow,Route 45,Yes,Yes,Yes,Yes,Yes,Limited,2-8
Aipom,Route 45,Yes,Yes,Yes,Yes,Yes,Limited,21-27
Heracross,Route 45,Yes,Yes,Yes,Yes,Yes,Limited,21-30
Rattata,Route 46,Yes,Yes,Yes,Yes,Yes,Common,2-4
Spearow,Route 46,Yes,Yes,Yes,Yes,No,Common,2-3
Geodude,Route 46,Yes,Yes,Yes,Yes,Yes,Common,2-3
Plusle,Route 46,Yes,Yes,Yes,Yes,Yes,Uncommon,2-3
Minun,Route 46,Yes,Yes,Yes,Yes,Yes,Uncommon,2
Shinx,Route 46,Yes,Yes,Yes,Yes,Yes,Common,2-3
Spearow,Route 46,Yes,Yes,Yes,Yes,Yes,Limited,2-8
Aipom,Route 46,Yes,Yes,Yes,Yes,Yes,Limited,3-8
Heracross,Route 46,Yes,Yes,Yes,Yes,Yes,Limited,2-5
Ditto,Route 47,Yes,Yes,Yes,Yes,Yes,Common,31-40
Raticate,Route 47,Yes,Yes,Yes,Yes,Yes,Rare,31-33
Spearow,Route 47,Yes,Yes,Yes,Yes,Yes,Rare,31
Fearow,Route 47,Yes,Yes,Yes,Yes,Yes,Rare,34
Gloom,Route 47,Yes,Yes,Yes,Yes,Yes,Rare,32
Farfetch'd,Route 47,Yes,Yes,Yes,Yes,No,Uncommon,35
Noctowl,Route 47,Yes,Yes,No,No,Yes,Uncommon,35
Miltank,Route 47,Yes,Yes,Yes,Yes,Yes,Uncommon,35
Linoone,Route 47,Yes,Yes,Yes,Yes,Yes,Uncommon,31-32
Whismur,Route 47,Yes,Yes,Yes,Yes,Yes,Uncommon,33-34
Bidoof,Route 47,Yes,Yes,Yes,Yes,Yes,Uncommon,31-32
Buizel,Route 47,Yes,Yes,Yes,Yes,Yes,Uncommon,33-34
Ditto,Route 47,Yes,Yes,Yes,Yes,Yes,Common,35
Tentacool,Route 47,Yes,Yes,Yes,Yes,Yes,Common,15-25
Seel,Route 47,Yes,Yes,Yes,Yes,Yes,Common,10-20
Staryu,Route 47,Yes,Yes,Yes,Yes,Yes,Uncommon,15-25
Shellder,Route 47,Yes,Yes,Yes,Yes,Yes,Common,40
Chinchou,Route 47,Yes,Yes,Yes,Yes,Yes,Common,40
Tentacruel,Route 47,Yes,Yes,Yes,Yes,Yes,Rare,40
Lanturn,Route 47,Yes,Yes,Yes,Yes,Yes,Rare,40
Tentacool,Route 47,Yes,Yes,Yes,Yes,Yes,Common,20
Magikarp,Route 47,Yes,Yes,Yes,Yes,Yes,Common,20
