Item,Effect,Location
Max Ether,It fully restores the PP of a single selected move that has been learned by the target Pokémon.,"Johto: Route 41 (With Dowsing MCHN) , Route 43 , Violet City , Cianwood City , Ruins of Alph , Mt. Mortar , Dark Cave , Mt. Silver (With Dowsing MCHN) , Goldenrod Underground , The Cliff Cave Kanto: Route 17 , Route 19 , Vermillion City , Viridian Forest (With Dowsing MCHN) , Rock Tunnel , Victory Road Pokéwalker : Dim Cave (1500+ Steps) , Treehouse (3000+ Steps)"
Max Potion,A spray-type medicine for wounds. It completely restores the HP of a single Pokémon.,"Johto: Route 38 , Route 45 , Mt. Mortar , Mt. Mortar , Tin Tower (With Dowsing MCHN) , Tin Tower , Mt. Silver (With Dowsing MCHN) , Dragon's Den (With Dowsing MCHN) , Ice Path (With Dowsing MCHN) , Ice Path , Goldenrod Underground (With Dowsing MCHN) Kanto: Route 9 , Rock Tunnel (With Dowsing MCHN) Shop : Johto : Cherrygrove City , Violet City , Azalea Town , Goldenrod City , Ecruteak City , Olivine City , Blackthorn City , Frontier Front Kanto : Viridian City , Pewter City , Cerulean City , Vermillion City , Lavender Town , Celadon City , Saffron City , Fuchsia City , Indigo Plateau Pokéwalker : Dim Cave (2000+ Steps) , Treehouse (3500+ Steps) , Sinnoh Field (3800+ Steps)"
Max Revive,A medicine that revives a fainted Pokémon. It fully restores the Pokémon's HP.,"Johto: Route 44 , Ruins of Alph , Radio Tower (Goldenrod Lottery Prize - 4 Numbers Match) , Mt. Mortar , Mt. Mortar (With Dowsing MCHN) , Tin Tower , Dark Cave (With Dowsing MCHN) , Whirl Islands , Mt. Silver , Mt. Silver (With Dowsing MCHN) , Lake of Rage (Low Tide) Kanto: Pewter City (With Dowsing MCHN) , Diglett's Cave (With Dowsing MCHN) , Mt. Moon (With Dowsing MCHN) , Cerulean Cave , Cerulean Cave (With Dowsing MCHN) , Seafoam Islands (With Dowsing MCHN) , Victory Road , Victory Road (With Dowsing MCHN)"
Moomoo Milk,Milk with a very high nutrition content. It restores the HP of one Pokémon by 100 points.,"Johto: Route 39 (Receive from Miltank) Shop : Johto : Pokeathlon Dome Pokéwalker : Resort (2500+ Steps) , Sightseeing (2600+ Steps) , Amity Meadow (700+ Steps)"
Old Gateau,Old Chateau's hidden specialty. It heals all the status problems of a single Pokémon.,"Pokéwalker: Scary Cave (3500+ Steps) , Sightseeing (4500+ Steps)"
Parlyz Heal,A spray-type medicine. It eliminates paralysis from a single Pokémon.,"Johto: Route 35 , Goldenrod City (With Dowsing MCHN) (Dept. Store Basement) , Sprout Tower , Union Cave (With Dowsing MCHN)"
Potion,A spray-type medicine for wounds. It restores the HP of one Pokémon by just 20 points.,"Johto: Route 29 , Route 30 , Route 30 (With Dowsing MCHN) , Route 31 , New Bark Town (Elm's Assistant) , New Bark Town (With Dowsing MCHN) , Sprout Tower , Union Cave Kanto: Victory Road Shop : Johto : Cherrygrove City , Violet City , Azalea Town , Goldenrod City , Ecruteak City , Olivine City , Cianwood City , Blackthorn City , Mahogany Town , Frontier Front Kanto : Viridian City , Pewter City , Cerulean City , Vermillion City , Lavender Town , Celadon City , Saffron City , Fuchsia City Pokéwalker : Refreshing Field (0+ Steps) , Suburban Area (0+ Steps) , Volcano Path (0+ Steps) , Rally (0+ Steps)"
Ragecandybar,A famous candy in Mahogany Town. Many tourists like to buy them to take home.,Johto: Mahogany Town
Revival Herb,"A very bitter medicinal herb. It revives a fainted Pokémon, fully restoring its HP.",Johto: Ruins of Alph (Bottom Left) Shop : Johto : Goldenrod Underground Pokéwalker : Treehouse (1000+ Steps)
Revive,A medicine that revives a fainted Pokémon. It restores half the Pokémon's maximum HP.,"Johto: Route 45 , Violet City , Cianwood City , Union Cave (With Dowsing MCHN) , Ilex Forest , Mt. Mortar , Mt. Mortar (With Dowsing MCHN) , Burnt Tower (With Dowsing MCHN) , Dark Cave , Dark Cave , Whirl Islands (With Dowsing MCHN) , Mt. Silver (With Dowsing MCHN) , Dragon's Den (With Dowsing MCHN) , Ice Path (With Dowsing MCHN) , Rocket Hideout (With Dowsing MCHN) , Goldenrod Underground (With Dowsing MCHN) , Route 47 Kanto: Route 11 (With Dowsing MCHN) , Route 19 (With Dowsing MCHN) , Route 19 , Route 25 (With Dowsing MCHN) , Route 27 (With Dowsing MCHN) , Vermillion City , Mt. Moon (With Dowsing MCHN) , Cerulean Cave (With Dowsing MCHN) , Rock Tunnel , Rock Tunnel , Seafoam Islands , Victory Road Shop : Johto : Cherrygrove City , Violet City , Azalea Town , Goldenrod City , Ecruteak City , Olivine City , Cianwood City , Blackthorn City , Mahogany Town , Frontier Front Kanto : Viridian City , Pewter City , Cerulean City , Vermillion City , Lavender Town , Celadon City , Saffron City , Fuchsia City , Indigo Plateau Pokéwalker : Refreshing Field (2500+ Steps) , Noisy Forest (2500+ Steps) , Warm Beach (2000+ Steps) , Volcano Path (2000+ Steps) , Sinnoh Field (2000+ Steps)"
Sacred Ash,"It revives all fainted Pokémon. In doing so, it also fully restores their HP.",Held by Ho-Oh Kanto: Route 2
Soda Pop,A fizzy soda drink. It restores the HP of one Pokémon by 60 points.,"Shop : Johto : Goldenrod City , Pokeathlon Dome Kanto : Celadon City , Mt. Moon Pokéwalker : Beautiful Beach (800+ Steps) , Resort (1000+ Steps) , Sightseeing (1800+ Steps) , Amity Meadow (500+ Steps)"
Super Potion,A spray-type medicine for wounds. It restores the HP of one Pokémon by 50 points.,"Johto: Route 32 (With Dowsing MCHN) , Route 34 , Route 42 , New Bark Town (Mom's Savings) , Goldenrod City (With Dowsing MCHN) (Dept. Store Basement) , Goldenrod City , Slowpoke Well , Slowpoke Well (With Dowsing MCHN) , Ilex Forest (With Dowsing MCHN) , Shining Lighthouse Shop : Johto : Cherrygrove City , Violet City , Azalea Town , Goldenrod City , Ecruteak City , Olivine City , Cianwood City , Blackthorn City , Mahogany Town , Frontier Front Kanto : Viridian City , Pewter City , Cerulean City , Vermillion City , Lavender Town , Celadon City , Saffron City , Fuchsia City , Indigo Plateau Pokéwalker : Sinnoh Field (0+ Steps) , Rally (300+ Steps)"
Adamant Orb,A brightly gleaming orb to be held by DIALGA. It boosts the power of Dragon- and Steel-type moves.,Johto: Sinjoh Ruins (Held by Dialga)
Amulet Coin,An item to be held by a Pokémon. It doubles a battle's prize money if the holding Pokémon joins in.,Johto: Goldenrod City
Big Root,A Pokémon held item that boosts the power of HP-stealing moves to let the holder recover more HP.,Kanto: Route 3 Pokéwalker : Yellow Forest (4000+ Steps)
Black Belt,An item to be held by a Pokémon. It is a belt that boosts determination and Fighting-type moves.,Johto: Lake of Rage (Wesley on Wednesday)
Black Sludge,A held item that gradually restores the HP of Poison-type Pokémon. It inflicts damage on all other types.,Kanto: Cerulean Cave
BlackGlasses,An item to be held by a Pokémon. It is a shady-looking pair of glasses that boosts Dark-type moves.,Johto: Dark Cave
Blue Scarf,An item to be held by a Pokémon. It boosts the Beauty aspect of the holder in a Contest in Sinnoh.,Transfer from DPt
BrightPowder,An item to be held by a Pokémon. It casts a tricky glare that lowers the opponent's accuracy.,Johto: Radio Tower Shop : Johto : Battle Frontier
Charcoal,An item to be held by a Pokémon. It is a combustible fuel that boosts the power of Fire-type moves.,"Johto: Azalea Town (Rescue the Farfetch'd in Ilex Forest) , Ruins of Alph (Bottom Left)"
Choice Band,"An item to be held by a Pokémon. This headband ups Attack, but allows the use of only one kind of move.",Shop : Johto : Battle Frontier Pokéwalker : Winner's Path (8000+ Steps)
Choice Scarf,"An item to be held by a Pokémon. This scarf boosts Speed, but allows the use of only one kind of move.",Johto: New Bark Town (Mom's Savings) Shop : Johto : Battle Frontier Pokéwalker : Winner's Path (9000+ Steps)
Choice Specs,"An item to be held by a Pokémon. These distinctive glasses boost Sp. Atk, but allow only one kind of move to be used.",Johto: Lake of Rage (High Tide) Pokéwalker : Winner's Path (7000+ Steps)
Cleanse Tag,An item to be held by a Pokémon. It helps keep wild Pokémon away if the holder is the first one in the party.,Kanto: Route 5
Damp Rock,A Pokémon held item that extends the duration of the move Rain Dance used by the holder.,Pokéwalker: Icy Mountain Rd. (2500+ Steps)
DeepSeaScale,"An item to be held by CLAMPERL. A scale that shines a faint pink, it raises the Sp. Def stat.",Kanto: Route 20 (With Dowsing MCHN)
DeepSeaTooth,"An item to be held by CLAMPERL. A fang that gleams a sharp silver, it raises the Sp. Atk stat.",Kanto: Route 20 (With Dowsing MCHN)
Destiny Knot,"A long, thin, bright red string to be held by a Pokémon. If the holder becomes infatuated, the foe does too.",Kanto: Route 27
Draco Plate,An item to be held by a Pokémon. It is a stone tablet that boosts the power of Dragon-type moves.,Johto: SS Aqua (From Captain)
Dragon Fang,An item to be held by a Pokémon. It is a hard and sharp fang that ups the power of Dragon-type moves.,Johto: Dragon's Den
Dread Plate,An item to be held by a Pokémon. It is a stone tablet that boosts the power of Dark-type moves.,Johto: SS Aqua (From Captain)
Dubious Disc,A transparent device overflowing with dubious data. Its producer is unknown.,Johto: Route 42 (Requires Rock Climb)
Earth Plate,An item to be held by a Pokémon. It is a stone tablet that boosts the power of Ground-type moves.,Johto: SS Aqua (From Captain)
Electirizer,A box packed with a tremendous amount of electric energy. It is loved by a certain Pokémon.,Kanto: Cerulean Cave Pokéwalker : Amity Meadow (2550+ Steps)
Everstone,An item to be held by a Pokémon. The Pokémon holding this peculiar stone is prevented from evolving.,"Johto: New Bark Town (Professor Elm - Show Togepi) , National Park (Come 2nd in Bug Catching Contest) Kanto: Route 25 (Show Bill's Grandfather a Jigglypuff in HG or Lickitung in SS)"
Exp. Share,An item to be held by a Pokémon. The holder gets a share of a battle's Exp. Points without battling.,"Johto: Route 30 (Give Mr. Pokémon the Red Scale) , Radio Tower (Goldenrod Lottery Prize - 3 Numbers Match)"
Expert Belt,An item to be held by a Pokémon. It is a well-worn belt that slightly boosts the power of supereffective moves.,Johto: Mt. Silver
Fist Plate,An item to be held by a Pokémon. It is a stone tablet that boosts the power of Fighting-type moves.,Johto: SS Aqua (From Captain)
Flame Orb,An item to be held by a Pokémon. It is a bizarre orb that inflicts a burn on the holder in battle.,Shop : Johto : Battle Frontier Pokéwalker : Volcano Path (4000+ Steps)
Flame Plate,An item to be held by a Pokémon. It is a stone tablet that boosts the power of Fire-type moves.,Johto: SS Aqua (From Captain)
Focus Band,"An item to be held by a Pokémon. The holder may endure a potential KO attack, leaving it with just 1 HP.",Shop : Johto : Battle Frontier
Focus Sash,"An item to be held by a Pokémon. If it has full HP, the holder will endure one potential KO attack, leaving 1 HP.",Johto: New Bark Town (Mom's Savings) Shop : Johto : Battle Frontier Pokéwalker : Winner's Path (10000+ Steps)
Full Incense,An item to be held by a Pokémon. It is an exotic-smelling incense that makes the holder bloated and slow moving.,Johto: Mt. Mortar
Green Scarf,An item to be held by a Pokémon. It boosts the Smart aspect of the holder in a Contest in Sinnoh.,Transfer from DPt
Grip Claw,A Pokémon held item that extends the duration of multiturn attacks like Bind and Wrap.,Kanto: Seafoam Islands
Griseous Orb,A glowing orb to be held by GIRATINA. It boosts the power of Dragon- and Ghost-type moves.,Johto: Sinjoh Ruins (Held by Giratina)
Hard Stone,An item to be held by a Pokémon. It is an unbreakable stone that ups the power of Rock-type moves.,Johto: Route 36 (Arthur on Thursday) Pokéwalker : Rugged Road (5000+ Steps)
Heat Rock,A Pokémon held item that extends the duration of the move Sunny Day used by the holder.,Pokéwalker: Icy Mountain Rd. (3000+ Steps)
Icicle Plate,An item to be held by a Pokémon. It is a stone tablet that boosts the power of Ice-type moves.,Johto: SS Aqua (From Captain)
Icy Rock,A Pokémon held item that extends the duration of the move Hail used by the holder.,Pokéwalker: Icy Mountain Rd. (4000+ Steps)
Insect Plate,An item to be held by a Pokémon. It is a stone tablet that boosts the power of Bug-type moves.,Johto: SS Aqua (From Captain)
Iron Ball,A Pokémon held item that cuts Speed. It makes Flying-type and levitating holders susceptible to Ground moves.,Johto: Mt. Mortar
Iron Plate,An item to be held by a Pokémon. It is a stone tablet that boosts the power of Steel-type moves.,Johto: SS Aqua (From Captain)
King's Rock,An item to be held by a Pokémon. It may cause the foe to flinch when the holder inflicts damage.,Johto: Slowpoke Well Shop : Johto : Pokeathlon Dome
Lagging Tail,An item to be held by a Pokémon. It is tremendously heavy and makes the holder move slower than usual.,Johto: Route 47
Lax Incense,An item to be held by a Pokémon. The tricky aroma of this incense lowers the foe's accuracy.,Johto: Route 38
Leftovers,An item to be held by a Pokémon. The holder's HP is gradually restored during battle.,Attached to wild Snorlax
Life Orb,"An item to be held by a Pokémon. It boosts the power of moves, but at the cost of some HP on each hit.",Johto: Ruins of Alph (Bottom Left)
Light Ball,An item to be held by PIKACHU. It is a puzzling orb that raises the Attack and Sp. Atk stat.,Pokéwalker: Yellow Forest (7000+ Steps)
Light Clay,A Pokémon held item that extends the duration of barrier moves like Light Screen and Reflect used by the holder.,Kanto: Route 9
Luck Incense,An item to be held by a Pokémon. It doubles a battle's prize money if the holding Pokémon joins in.,Kanto: Vermillion City
Lucky Egg,An item to be held by a Pokémon. It is an egg filled with happiness that earns extra Exp. Points in battle.,Attached to Chansey
Lucky Punch,An item to be held by CHANSEY. It is a pair of gloves that boosts CHANSEY's critical-hit ratio.,Kanto: Route 14 (Show a man Chansey)
Lustrous Orb,A beautifully glowing orb to be held by PALKIA. It boosts the power of Dragon- and Water-type moves.,Johto: Sinjoh Ruins (Held by Palkia)
Macho Brace,An item to be held by a Pokémon. It is a stiff and heavy brace that promotes strong growth but lowers Speed.,Held by Machop in trade in Goldenrod City
Magmarizer,A box packed with a tremendous amount of magma energy. It is loved by a certain Pokémon.,Kanto: Cinnabar Island Pokéwalker : Amity Meadow (2500+ Steps)
Magnet,An item to be held by a Pokémon. It is a powerful magnet that boosts the power of Electric-type moves.,Johto: Route 37 (Sunny on Sunday)
Meadow Plate,An item to be held by a Pokémon. It is a stone tablet that boosts the power of Grass-type moves.,Johto: SS Aqua (From Captain)
Mental Herb,An item to be held by a Pokémon. It snaps the holder out of infatuation. It can be used only once.,Kanto: Route 7
Metal Coat,An item to be held by a Pokémon. It is a special metallic film that ups the power of Steel-type moves.,Johto: SS Aqua Shop : Johto : Pokeathlon Dome
Metal Powder,"An item to be held by DITTO. Extremely fine yet hard, this odd powder boosts the Defense stat.",Held by wild Ditto
Metronome,A Pokémon held item that boosts a move used consecutively. Its effect is reset if another move is used.,Shop : Johto : Goldenrod City Kanto : Celadon City
Mind Plate,An item to be held by a Pokémon. It is a stone tablet that boosts the power of Psychic-type moves.,Johto: SS Aqua (From Captain)
Miracle Seed,An item to be held by a Pokémon. It is a seed imbued with life that ups the power of Grass-type moves.,Johto: Route 32 Pokéwalker : Yellow Forest (5000+ Steps)
Muscle Band,An item to be held by a Pokémon. It is a headband that slightly boosts the power of physical moves.,Johto: New Bark Town (Mom's Savings) Shop : Johto : Battle Frontier
Mystic Water,An item to be held by a Pokémon. It is a teardrop-shaped gem that ups the power of Water-type moves.,"Johto: Cherrygrove City (Requires Surf) , Ruins of Alph (Top Left)"
NeverMeltIce,An item to be held by a Pokémon. It is a piece of ice that repels heat and boosts Ice-type moves.,Johto: Ice Path
Odd Incense,An item to be held by a Pokémon. It is an exotic-smelling incense that boosts the power of Psychic-type moves.,Kanto: Cerulean Cave
Pink Scarf,An item to be held by a Pokémon. It boosts the Cute aspect of the holder in a Contest in Sinnoh.,Transfer from DPt
Poison Barb,"An item to be held by a Pokémon. It is a small, poisonous barb that ups the power of Poison-type moves.",Johto: Route 32 (Frieda on Friday)
Power Anklet,"A Pokémon held item that promotes Speed gain on leveling, but reduces the Speed stat.",Shop : Johto : Battle Frontier
Power Band,"A Pokémon held item that promotes Sp. Def gain on leveling, but reduces the Speed stat.",Shop : Johto : Battle Frontier
Power Belt,"A Pokémon held item that promotes Defense gain on leveling, but reduces the Speed stat.",Shop : Johto : Battle Frontier
Power Bracer,"A Pokémon held item that promotes Attack gain on leveling, but reduces the Speed stat.",Shop : Johto : Battle Frontier
Power Herb,A single-use item to be held by a Pokémon. It allows the immediate use of a move that charges on the first turn.,Johto: Route 34 Shop : Johto : Battle Frontier Pokéwalker : Winner's Path (6000+ Steps)
Power Lens,"A Pokémon held item that promotes Sp. Atk gain on leveling, but reduces the Speed stat.",Shop : Johto : Battle Frontier
Power Weight,"A Pokémon held item that promotes HP gain on leveling, but reduces the Speed stat.",Shop : Johto : Battle Frontier
Protector,A protective item of some sort. It is extremely stiff and heavy. It is loved by a certain Pokémon.,Johto: Mt. Mortar
Pure Incense,An item to be held by a Pokémon. It helps keep wild Pokémon away if the holder is the first one in the party.,Johto: Mt. Silver
Quick Claw,"An item to be held by a Pokémon. A light, sharp claw that lets the bearer move first occasionally.",Johto: National Park
Quick Powder,"An item to be held by DITTO. Extremely fine yet hard, this odd powder boosts the Speed stat.",Held by Wild Ditto
Razor Claw,An item to be held by a Pokémon. It is a sharply hooked claw that ups the holder's critical-hit ratio.,Shop : Johto : Battle Frontier
Razor Fang,An item to be held by a Pokémon. It may cause the foe to flinch when the holder inflicts damage.,Shop : Johto : Battle Frontier
Reaper Cloth,A cloth imbued with horrifyingly strong spiritual energy. It is loved by a certain Pokémon.,Johto: Mt. Silver
Red Scarf,An item to be held by a Pokémon. It boosts the Cool aspect of the holder in a Contest in Sinnoh.,Transfer from DPt
Rock Incense,An item to be held by a Pokémon. It is an exotic-smelling incense that boosts the power of Rock-type moves.,Kanto: Diglett's Cave
Rose Incense,An item to be held by a Pokémon. It is an exotic-smelling incense that boosts the power of Grass-type moves.,Kanto: Route 15
Scope Lens,An item to be held by a Pokémon. It is a lens that boosts the holder's critical-hit ratio.,Shop : Johto : Battle Frontier
Sea Incense,An item to be held by a Pokémon. It is incense with a curious aroma that boosts the power of Water-type moves.,Kanto: Cerulean Cave
Sharp Beak,"An item to be held by a Pokémon. It is a long, sharp beak that boosts the power of Flying-type moves.",Johto: Route 40 (Monica on Monday)
Shed Shell,"A tough, discarded carapace to be held by a Pokémon. It enables the holder to switch with a waiting Pokémon in battle.",Johto: National Park (Come 4th in Bug Catching Contest)
Shell Bell,An item to be held by a Pokémon. The holder's HP is restored a little every time it inflicts damage.,Johto: Route 32
Silk Scarf,An item to be held by a Pokémon. It is a sumptuous scarf that boosts the power of Normal-type moves.,Johto: New Bark Town (Mom's Savings) Shop : Johto : Goldenrod City Kanto : Celadon City
SilverPowder,"An item to be held by a Pokémon. It is a shiny, silver powder that ups the power of Bug-type moves.",Pokéwalker: Dim Cave (5000+ Steps)
Sky Plate,An item to be held by a Pokémon. It is a stone tablet that boosts the power of Flying-type moves.,Johto: SS Aqua (From Captain)
Smoke Ball,An item to be held by a Pokémon. It enables the holder to flee from any wild Pokémon without fail.,Johto: Goldenrod Underground
Smooth Rock,A Pokémon held item that extends the duration of the move Sandstorm used by the holder.,Pokéwalker: Icy Mountain Rd. (3500+ Steps)
Soft Sand,"An item to be held by a Pokémon. It is a loose, silky sand that boosts the power of Ground-type moves.",Johto: Blackthorn City (Santos on Saturday)
Soothe Bell,An item to be held by a Pokémon. It is a bell with a comforting chime that calms the holder and makes it friendly.,Johto: National Park
Soul Dew,A wondrous orb to be held by LATIOS or LATIAS. It raises both the Sp. Atk and Sp. Def stats.,Kanto: Pewter City (Give Enigma Stone to Researcher)
Spell Tag,"An item to be held by a Pokémon. It is a sinister, eerie tag that boosts the power of Ghost-type moves.",Kanto: Celadon City
Splash Plate,An item to be held by a Pokémon. It is a stone tablet that boosts the power of Water-type moves.,Johto: SS Aqua (From Captain)
Spooky Plate,An item to be held by a Pokémon. It is a stone tablet that boosts the power of Ghost-type moves.,Johto: SS Aqua (From Captain)
Stick,An item to be held by FARFETCH'D. It is a very long and stiff stalk of leek that boosts the critical-hit ratio.,Held by wild Farfetch'd
Sticky Barb,A held item that damages the holder on every turn. It may latch on to foes that touch the holder.,Kanto: Vermillion City
Stone Plate,An item to be held by a Pokémon. It is a stone tablet that boosts the power of Rock-type moves.,Johto: SS Aqua (From Captain)
Thick Club,An item to be held by CUBONE or MAROWAK. It is a hard bone of some sort that boosts the Attack stat.,Held by wild Cubone & Marowak Pokéwalker : Scary Cave (4500+ Steps)
Toxic Orb,An item to be held by a Pokémon. It is a bizarre orb that badly poisons the holder in battle.,Shop : Johto : Battle Frontier
